age,monthly_income,employment_months,employment_type_encoded,equifax_score,active_debts,worst_delay_days,credit_utilization_pct,avg_balance_3m,transaction_count_3m,dti_ratio,payment_to_income,debt_service_coverage,loan_to_income,employment_type,elegible,default_12m,data_source,dataset_version,feature_schema_version
30,950543.9687861123,126.54484019006549,1,540.6322610307146,0,34.0,0.43640114003892616,552585.1319871515,23,0.2099089756896274,0.2099089756896274,4.763969700269538,0.8396359027585095,independiente,True,0,synthetic_v1,v1,personal_v1
34,952912.4748652597,115.0129920038886,0,490.82322426741126,1,22.0,0.8646430893772001,834112.6674823625,20,0.05015570758459374,0.10262642375091313,9.744079189849996,0.2507785379229687,asalariado,True,0,synthetic_v1,v1,personal_v1
45,703768.6331605765,32.192956853157966,1,501.2685662072327,1,5.0,0.7551562494692123,1047182.8828094063,23,0.43294001640723795,0.5039860926943459,1.984181735360847,0.4329400164072379,independiente,False,0,synthetic_v1,v1,personal_v1
18,1160349.774597325,63.16455944578587,1,461.83832278675084,2,14.0,0.6369589204921442,1092005.4414003263,20,0.9882624346558984,1.074443345092756,0.9307144993426067,0.9882624346558984,independiente,False,1,synthetic_v1,v1,personal_v1
27,1072610.883250661,69.59940508038366,0,506.2477020838568,0,9.0,0.9765193484635358,353313.0697381156,43,0.07275811726943902,0.07275811726943902,13.744170925929598,0.21827435180831706,asalariado,False,0,synthetic_v1,v1,personal_v1
43,186990.75029121563,26.13899790154113,0,471.77398550084337,0,9.0,0.21186993700891346,262148.48951931007,15,0.16656048360861228,0.16656048360861228,6.003825027008347,0.49968145082583687,asalariado,False,0,synthetic_v1,v1,personal_v1
32,1579904.070247704,17.80179292834977,1,476.48698071080713,1,1.0,0.8134167045438653,1680732.1647436223,47,0.42650299333386654,0.45815048443258927,2.182688950418728,0.8530059866677331,independiente,False,0,synthetic_v1,v1,personal_v1
44,341373.43242571957,8.276459950399516,2,519.8450614199231,1,23.0,0.48076390710095557,247588.43323245418,21,0.0691874667650757,0.21565463512294034,4.637043852221958,0.3459373338253785,pensionado,False,0,synthetic_v1,v1,personal_v1
42,150000.0,63.25894439628207,0,610.2705337112345,1,2.0,0.5187996980920413,87700.90360533568,19,0.1331890168905811,0.4665223502239145,2.1435200253965,0.39956705067174336,asalariado,False,0,synthetic_v1,v1,personal_v1
49,1593727.700401761,76.55195972780785,0,505.1664295903427,3,13.0,0.067018380983526,2071730.8652749083,51,0.20269679394005624,0.2968157579024613,3.369093363057284,0.4053935878801124,asalariado,False,0,synthetic_v1,v1,personal_v1
41,609156.1930970646,31.93726020531645,1,553.4249099244269,1,7.0,0.9449326219699644,594490.5100944001,20,0.1733294766407795,0.2554102312429622,3.915269937047813,0.8666473832038974,independiente,True,0,synthetic_v1,v1,personal_v1
29,1823340.4689091984,132.35206790852365,1,600.5355594906213,1,17.0,0.8106528958164432,1580257.4635340527,57,0.3035177268026674,0.3309399229599831,3.021696479094542,0.6070354536053348,independiente,True,0,synthetic_v1,v1,personal_v1
18,1731724.0506110513,46.437119661476046,0,607.5397836134941,1,20.0,0.0401257993978869,1325095.7092107453,42,0.6826887106157951,0.7115616710521632,1.4053595642965597,0.682688710615795,asalariado,True,0,synthetic_v1,v1,personal_v1
20,175542.1369882828,53.792327774953506,0,433.3923248310568,0,7.0,0.6204309301123041,156164.19624927142,13,0.30310449663345895,0.30310449663345895,3.2991922294352807,0.30310449663345895,asalariado,False,0,synthetic_v1,v1,personal_v1
18,371121.4805464901,177.84304146128773,0,623.4368103639931,0,21.0,0.1718770361408447,204509.24729382814,20,0.17187532481684156,0.17187532481684156,5.818170822749845,0.17187532481684156,asalariado,True,1,synthetic_v1,v1,personal_v1
18,220360.9747263309,83.2232713151238,2,510.7758535287333,4,3.0,0.09520353710605349,224719.0000420023,16,0.19636441016272208,1.103966131603565,0.9058248902504381,0.7854576406508884,pensionado,True,0,synthetic_v1,v1,personal_v1
27,391076.59996302356,77.46981635837892,0,365.32714122091534,5,25.0,0.5034704324370736,374820.9524500976,18,0.5697140214834017,1.20897497451316,0.827146980774096,0.5697140214834017,asalariado,True,1,synthetic_v1,v1,personal_v1
32,650013.3372194167,19.927382479971612,1,592.2466029298582,0,36.0,0.325824485134161,246305.68990301766,26,0.19417300694529752,0.19417300694529752,5.150046423711821,0.5825190208358926,independiente,True,0,synthetic_v1,v1,personal_v1
20,150000.0,85.6783802353081,0,521.827279222424,1,57.0,0.44855960254273086,184560.4538075822,10,0.31099301172493937,0.6443263450582727,1.5520085553999197,0.9329790351748181,asalariado,True,0,synthetic_v1,v1,personal_v1
36,220723.30875771405,142.8618058414937,2,461.4607538541932,4,99.0,0.3465060320746773,112521.64236218277,9,0.32962789836170014,1.2357397228248708,0.8092318969192189,0.9888836950851004,pensionado,False,0,synthetic_v1,v1,personal_v1
39,150000.0,56.55570979294829,0,496.9738372903855,3,6.0,0.4476235957666854,123561.16897817125,9,0.04687743080120961,1.0468774308012097,0.9552216626111304,0.18750972320483844,asalariado,False,1,synthetic_v1,v1,personal_v1
49,503743.2262450318,93.52636771422067,0,465.90271865753084,2,17.0,0.27702547037078384,146245.467786105,18,0.05939701942494579,0.25791085502609745,3.877308692178978,0.23758807769978316,asalariado,False,0,synthetic_v1,v1,personal_v1
43,1890079.8742932926,11.765414875793175,0,527.1672125715143,1,9.0,0.6099156615632647,1079770.174596597,66,0.4919530762083101,0.5184069846806677,1.9289863554133777,0.9839061524166202,asalariado,False,0,synthetic_v1,v1,personal_v1
48,579269.6471787428,22.422812094725945,0,565.1822393367369,2,1.0,0.7212562674478671,290400.29383877484,21,0.24505576693839598,0.41768694222444275,2.3941375678980483,0.9802230677535838,asalariado,True,0,synthetic_v1,v1,personal_v1
42,2074319.542072331,16.305024603270322,0,565.4290278001534,0,21.0,0.4443981914254202,1718373.253423732,47,0.04344398130747736,0.04344398130747736,23.018148196926074,0.17377592522990945,asalariado,True,0,synthetic_v1,v1,personal_v1
18,724941.2316961807,121.57418307512577,0,537.9443720370806,3,5.0,0.656205105391696,169627.17580208683,26,0.16879045645002552,0.3757037805122224,2.6616713801405782,0.8439522822501276,asalariado,True,0,synthetic_v1,v1,personal_v1
39,420081.44175648654,4.214964553050503,0,540.2692800008253,3,65.0,0.20731940308831479,226758.35261933185,13,0.23447917092418805,0.5915527882989642,1.6904662099143233,0.4689583418483761,asalariado,True,0,synthetic_v1,v1,personal_v1
22,153157.04368846942,55.9720621291482,0,474.1980473181281,3,27.0,0.7701326537758855,223355.1516457163,11,0.08769756886237996,1.067084454294231,0.9371329476085372,0.43848784431189985,asalariado,False,0,synthetic_v1,v1,personal_v1
25,313666.78267366206,40.1482984651242,0,420.30917646910666,2,34.0,0.8665224030080559,290075.6160686971,16,0.19689290153941882,0.515702560463487,1.9391022590643168,0.3937858030788376,asalariado,False,1,synthetic_v1,v1,personal_v1
29,1342736.577545879,3.038068646894193,1,603.5632660671845,0,2.0,0.28935473347172,785985.70389983,38,0.2580467505115608,0.2580467505115608,3.8752667802154668,0.5160935010231216,independiente,True,0,synthetic_v1,v1,personal_v1
40,202037.39419731215,27.301754013617334,1,452.2675781637062,4,100.0,0.6635642201233067,217433.45868616673,17,0.376520133763541,1.3664358906688079,0.7318308943938422,0.7530402675270821,independiente,False,0,synthetic_v1,v1,personal_v1
